,UserID,JobID,Rating
1,47,284009,1
2,47,2121,1
3,47,848187,1
4,47,733748,1
5,47,576958,1
6,47,262470,1
7,47,602298,1
8,47,982331,0
9,47,979937,0
10,47,821993,0
11,47,711528,0
12,47,688334,0
14,72,1020903,1
15,72,180313,1
16,72,480634,1
17,72,564184,1
18,72,1105054,0
19,72,1009975,0
20,72,960607,0
21,72,946809,0
22,72,943507,0
24,80,1073864,0
25,80,899228,0
26,80,87383,0
27,80,1116150,0
28,80,1116003,0
30,123,1080148,1
31,123,1108926,0
32,123,1107596,0
33,123,1107473,0
34,123,1107254,0
35,123,1107158,0
37,131,1092900,1
38,131,50183,1
39,131,1115910,0
40,131,1115382,0
41,131,1115258,0
42,131,1115257,0
43,131,1115244,0
45,162,822835,1
46,162,1112489,0
47,162,1112354,0
48,162,1111947,0
49,162,1111676,0
50,162,1098383,0
52,178,1113967,0
53,178,1113966,0
54,178,1109388,0
55,178,1102826,0
56,178,1100604,0
58,203,758079,1
59,203,717481,1
60,203,13175,1
61,203,1032422,1
62,203,923520,0
63,203,921903,0
64,203,919286,0
65,203,840863,0
66,203,840312,0
68,344,1111829,0
69,344,1095646,0
70,344,1091583,0
71,344,1090763,0
72,344,1087226,0
74,395,485208,1
75,395,784093,1
76,395,1053568,0
77,395,1004723,0
78,395,782121,0
79,395,97021,0
80,395,1115786,0
82,411,314495,1
83,411,479001,1
84,411,884993,0
85,411,805569,0
86,411,755190,0
87,411,584629,0
88,411,399351,0
90,415,962215,0
91,415,704330,0
92,415,685082,0
93,415,513602,0
94,415,457884,0
96,483,381246,1
97,483,1115811,0
98,483,1113994,0
99,483,1109229,0
100,483,1102994,0
101,483,1098779,0
103,496,932921,1
104,496,1098839,0
105,496,1079935,0
106,496,1079934,0
107,496,1079933,0
108,496,1079922,0
110,501,920491,1
111,501,752100,1
112,501,1107544,0
113,501,1098257,0
114,501,1097693,0
115,501,1093973,0
116,501,999457,0
118,524,135040,1
119,524,871031,1
120,524,1104130,0
121,524,1103630,0
122,524,1081761,0
123,524,1073403,0
124,524,1065589,0
126,547,1008052,1
127,547,449169,1
128,547,366888,1
129,547,153632,1
