UserID,JobID,Rating
47,848187,1
47,733748,1
47,576958,1
47,262470,1
47,602298,1
47,982331,0
47,979937,0
47,821993,0
47,711528,0
47,688334,0
72,480634,1
72,564184,1
72,1105054,0
72,1009975,0
72,960607,0
72,946809,0
72,943507,0
203,13175,1
203,1032422,1
203,923520,0
203,921903,0
203,919286,0
203,840863,0
203,840312,0
547,366888,1
547,153632,1
547,1107041,0
547,1098193,0
547,1084553,0
547,1064969,0
547,1063997,0
554,497069,1
554,802921,1
554,473911,1
554,811833,1
554,35071,1
554,300020,1
554,812337,1
554,537961,1
554,600011,1
554,871066,1
554,1113088,1
554,946506,1
554,600033,1
554,283948,1
554,600045,1
554,1091388,1
554,18,1
554,488127,1
554,957,1
554,328100,1
554,28139,1
554,817048,1
554,251966,1
554,316374,1
554,747584,1
554,491965,1
554,537959,1
554,280275,1
554,855139,1
554,149199,1
554,449029,1
554,627377,1
554,40,1
554,273293,1
554,773410,1
554,1114210,0
554,1113738,0
554,1113652,0
554,1113651,0
554,1055159,0
645,222539,1
645,814750,1
645,1014772,1
645,565961,1
645,159979,1
645,547649,1
645,1116201,0
645,1115868,0
645,1115486,0
645,1115485,0
645,1115363,0
655,585967,1
655,886994,1
655,1114507,0
655,1111827,0
655,1110271,0
655,1108915,0
655,1077100,0
769,775477,1
769,778617,1
769,39407,1
769,361603,1
769,300974,1
769,551465,1
769,1061408,1
769,28033,1
769,276926,1
769,900568,1
769,1054653,1
769,683925,1
769,134528,1
769,174594,1
769,478877,1
769,1039146,1
769,1069766,1
769,900935,1
769,344549,1
769,7620,1
769,497411,1
769,512686,1
769,195570,1
769,814990,1
769,272504,1
769,624249,1
769,970973,0
769,908081,0
769,765210,0
769,545651,0
769,340536,0
951,780304,1
951,821864,1
951,769592,1
951,885313,1
951,1025718,1
951,387058,1
951,77978,1
951,1115864,0
951,1115360,0
951,1115093,0
951,1115092,0
951,1115091,0
1526,364189,1
1526,899718,1
1526,971791,1
1526,1116220,0
1526,1116172,0
1526,1115878,0
1526,1115760,0
1526,1115707,0
1645,175314,1
1645,775692,1
1645,535350,1
1645,174692,1
1645,924867,1
1645,1115688,0
1645,1115599,0
1645,1114110,0
1645,1113848,0
1645,1113274,0
1697,601021,1
1697,580317,1
1697,911848,1
1697,778350,1
1697,901920,1
1697,242150,1
1697,300740,1
1697,495321,1
1697,866859,1
1697,212415,1
1697,339201,1
1697,822675,1
1697,959911,1
1697,1050681,1
1697,282642,1
1697,167006,1
1697,13313,1
1697,149354,1
1697,825168,1
1697,905085,1
1697,1054653,1
1697,554509,1
1697,812531,1
1697,1045358,1
1697,1017822,1
1697,300767,1
1697,314425,1
1697,512686,1
1697,272504,1
1697,16670,1
1697,911255,0
1697,1116220,0
1697,1116172,0
1697,1115994,0
1697,1115929,0
1770,1020832,1
1770,811667,1
1770,677738,1
1770,1105879,0
1770,1104961,0
1770,1104389,0
1770,1095604,0
1770,1095578,0
1960,339688,1
1960,1091392,1
1960,1014158,1
1960,1113725,0
1960,1113142,0
1960,1111308,0
1960,1108022,0
1960,1093855,0
2011,657551,1
2011,212272,1
2011,809372,1
2011,1051407,1
2011,212273,1
2011,551678,1
2011,1083190,0
2011,1071690,0
2011,1050988,0
2011,1047268,0
2011,1024823,0
2032,79196,1
2032,179834,1
2032,451657,1
2032,338452,1
2032,928013,1
2032,922310,0
2032,752394,0
2032,752392,0
2032,627774,0
2032,617276,0
2203,858238,1
2203,764091,1
2203,474149,1
2203,1106622,0
2203,1077718,0
2203,1027909,0
2203,1027774,0
2203,1027585,0
2241,634911,1
2241,996870,1
2241,1112361,0
2241,1112249,0
2241,1083663,0
2241,1083657,0
2241,1039070,0
2337,1075572,1
2337,763434,1
2337,1115890,0
2337,1115362,0
2337,1115178,0
2337,1114564,0
2337,1114404,0
2386,165188,1
2386,640533,1
2386,313825,1
2386,466263,1
2386,230536,1
2386,184511,1
2386,1113913,0
2386,1099935,0
2386,1099934,0
2386,1099932,0
2386,1095734,0
2393,200446,1
2393,338854,1
2393,156753,1
2393,625404,1
2393,478163,1
2393,502475,1
2393,331319,1
2393,875998,1
2393,631265,1
2393,331260,1
2393,1116234,0
2393,1115525,0
2393,1115350,0
2393,1113283,0
2393,1113106,0
2472,446115,1
2472,300910,1
2472,472197,1
2472,997072,1
2472,300959,1
2472,1116205,0
2472,1113301,0
2472,1111857,0
2472,1110495,0
2472,1109759,0
2528,191727,1
2528,46452,1
2528,624163,1
2528,969925,1
2528,958210,1
2528,811914,1
2528,150909,1
2528,917569,1
2528,624159,1
2528,1012976,1
2528,1108612,0
2528,1108607,0
2528,1098350,0
2528,1094687,0
2528,1088609,0
2549,835102,1
2549,535308,1
2549,912672,1
2549,959551,1
2549,1113222,0
2549,1107996,0
2549,1107659,0
2549,1106674,0
2549,1075221,0
2638,90751,1
2638,166742,1
2638,6867,1
2638,1010027,1
2638,630912,1
2638,480263,1
2638,1000035,1
2638,1099376,0
2638,1092340,0
2638,1086917,0
2638,1047987,0
2638,975280,0
2652,264110,1
2652,768429,1
2652,13470,1
2652,780080,1
2652,108437,1
2652,1050796,1
2652,247857,1
2652,198083,1
2652,860500,1
2652,179975,1
2652,262485,1
2652,1088282,1
2652,878029,1
2652,862781,1
2652,2121,1
2652,262764,1
2652,219637,1
2652,178370,1
2652,1007701,1
2652,515420,1
2652,152707,1
2652,263727,1
2652,311769,1
2652,860501,1
2652,576079,1
2652,567681,1
2652,595627,1
2652,327678,1
2652,862530,1
2652,582347,1
2652,148571,1
2652,1010124,1
2652,999242,1
2652,874378,1
2652,284009,1
2652,1090398,0
2652,1088604,0
2652,1084274,0
2652,1082315,0
2652,1067383,0
2754,108399,1
2754,700160,1
2754,647317,1
2754,1086990,1
2754,1025286,0
2754,648537,0
2754,645293,0
2754,590964,0
2754,579264,0
2848,259953,1
2848,45602,1
2848,878082,1
2848,55049,1
2848,1080737,1
2848,802974,0
2848,1116201,0
2848,1115910,0
2848,1115907,0
2848,1115904,0
2888,911258,1
2888,909862,1
2888,797530,1
2888,626545,1
2888,1114238,0
2888,1113491,0
2888,1109751,0
2888,1109709,0
2888,1105821,0
2958,919914,1
2958,873093,1
2958,1074772,1
2958,632881,1
2958,1104398,0
2958,1072013,0
2958,1061144,0
2958,1045223,0
2958,999412,0
2982,458623,1
2982,684352,1
2982,794559,1
2982,1101037,0
2982,1095670,0
2982,1095546,0
2982,1095361,0
2982,1069779,0
3185,314551,1
3185,446937,1
3185,1038309,1
3185,1105900,0
3185,1018175,0
3185,983431,0
3185,976236,0
3185,970806,0
3232,867885,1
3232,186385,1
3232,925776,1
3232,324890,1
3232,955639,1
3232,406558,1
3232,1058023,0
3232,1038410,0
3232,979933,0
3232,978000,0
3232,931109,0
3290,785430,1
3290,63659,1
3290,1093390,1
3290,293491,1
3290,681892,1
3290,582809,1
3290,809565,1
3290,844661,1
3290,824871,1
3290,1047550,1
3290,838334,1
3316,654009,1
3316,341751,1
3316,911679,1
3316,885046,1
3316,868965,1
3316,1101700,0
3316,1098541,0
3316,1097531,0
3316,1095282,0
3316,1078476,0
3582,759702,1
3582,634266,1
3582,1029022,1
3582,284394,1
3582,1098483,0
3582,1097886,0
3582,1074863,0
3582,1067078,0
3582,1064633,0
3752,1018946,1
3752,1075925,1
3752,409173,1
3752,1109542,0
3752,1091152,0
3752,1028569,0
3752,981001,0
3752,967627,0
3758,628722,1
3758,820391,1
3758,488488,1
3758,1059705,0
3758,1059676,0
3758,521281,0
3758,220595,0
3758,1116306,0
3992,1049317,1
3992,103226,1
3992,1110740,0
3992,1107577,0
3992,1104927,0
3992,1097890,0
3992,1095572,0
4022,1110908,1
4022,262335,1
4022,900158,1
4022,14257,1
4022,374641,1
4022,201249,1
4022,1041837,1
4022,1076320,0
4022,1071980,0
4022,1017006,0
4022,1017005,0
4022,1011149,0
4061,2619,1
4061,628251,1
4061,22426,1
4061,1108860,0
4061,1105327,0
4061,1102880,0
4061,1102879,0
4061,1102878,0
4232,174264,1
4232,1104251,1
4232,509710,1
4232,1008710,1
4232,225638,1
4232,285559,1
4232,1112311,0
4232,1111808,0
4232,1104181,0
4232,1103595,0
4232,1066992,0
4243,488536,1
4243,161448,1
4243,1115810,0
4243,1113525,0
4243,1108834,0
4243,1106076,0
4243,1105290,0
4359,184337,1
4359,845064,1
4359,818318,1
4359,362225,1
4359,267760,1
4359,252739,1
4359,384174,1
4359,635126,1
4359,1090190,1
4359,582393,1
4359,179973,1
4359,279889,1
4359,584969,1
4359,779958,1
4359,828586,1
4359,498206,1
4359,905303,1
4359,203469,1
4359,790859,1
4359,579534,1
4359,179958,1
4359,1089342,1
4359,23823,1
4359,17584,1
4359,1073900,1
4359,291818,1
4359,316962,1
4359,1093215,0
4359,948355,0
4359,281565,0
4359,1116306,0
4359,1116255,0
4368,317343,1
4368,547357,1
4368,896554,1
4368,202246,1
4368,1061158,1
4368,131297,1
4368,998179,0
4368,957576,0
4368,936678,0
4368,916792,0
4368,811152,0
4604,657321,1
4604,953712,1
4604,259303,1
4604,491441,1
4604,985084,1
4604,886638,1
4604,600050,1
4604,555615,1
4604,552885,1
4604,607254,1
4604,88075,1
4604,1114287,0
4604,1107507,0
4604,1070078,0
4604,1014913,0
4604,896677,0
4724,303944,1
4724,307388,1
4724,261369,1
4724,1073733,1
4724,1091073,1
4724,761456,1
4724,1115815,1
4724,1101630,1
4724,502027,1
4724,694694,1
4724,152528,1
4724,1065250,0
4724,1065238,0
4724,1064726,0
4724,1064453,0
4724,970954,0
4740,461927,1
4740,473174,1
4740,1115036,0
4740,1113419,0
4740,1111327,0
4740,1109362,0
4740,1104565,0
4743,846116,1
4743,246461,1
4743,311044,1
4743,928938,1
4743,846109,1
4743,246499,1
4743,803853,1
4743,580916,1
4743,466581,1
4743,1011473,1
4743,731241,1
4743,14863,1
4743,846134,1
4743,617234,1
4743,490529,1
4743,810885,1
4743,246498,1
4743,615045,1
4743,1009436,1
4743,92029,1
4743,912669,1
4743,1115253,0
4743,1114466,0
4743,1114455,0
4743,1114426,0
4743,1113467,0
4773,149490,1
4773,166797,1
4773,281575,1
4773,640522,1
4773,176516,1
4773,298184,1
4773,861424,1
4773,639210,1
4773,912469,1
4773,1116211,0
4773,1114620,0
4773,1114200,0
4773,1113767,0
4773,1113121,0
4972,1009420,1
4972,634432,1
4972,149175,1
4972,437448,1
4972,681354,1
4972,681352,1
4972,652233,1
4972,81159,1
4972,959543,1
4972,711289,1
4972,16225,1
4972,522647,1
4972,1001522,1
4972,639483,1
4972,176996,1
4972,218261,1
4972,900299,1
4972,685561,1
4972,286408,1
4972,1028990,1
4972,1116201,0
4972,1115910,0
4972,1115907,0
4972,1115904,0
4972,1115897,0
5174,36388,1
5174,253558,1
5174,373621,1
5174,749171,1
5174,577477,1
5174,364859,1
5174,275716,1
5174,448664,1
5174,306516,1
5174,651875,1
5174,943494,1
5174,877012,1
5174,1115755,0
5174,1114732,0
5174,1113736,0
5174,1112429,0
5174,1112377,0
5190,480386,1
5190,1027599,1
